date, value
2017/4/1,194480
2017/5/1,193687
2017/6/1,194303
2017/7/1,194461
2017/8/1,194037
2017/9/1,197074
2017/10/1,197539
2017/11/1,198429
2017/12/1,198905
2018/1/1,198624
2018/2/1,198428
2018/3/1,198338
2018/4/1,198741
2018/5/1,200681
2018/6/1,200371
2018/7/1,201226
2018/8/1,200432
2018/9/1,199162
2018/10/1,200982
2018/11/1,201246
2018/12/1,196927
2019/1/1,199975
2019/2/1,199338
2019/3/1,201736
2019/4/1,202040
2019/5/1,202578
2019/6/1,202973
2019/7/1,203771
2019/8/1,204639
2019/9/1,203057
2019/10/1,203600
2019/11/1,203626
2019/12/1,203319
2020/1/1,204627
2020/2/1,203541
2020/3/1,187611
2020/4/1,161298
2020/5/1,190883
